" ,node,type,lon,lat,p_nom, "
" ,PLTG_Peaking_#02,generator,117.052,-0.384,70, "
" ,PLTG_Sambera_#01,generator,117.291,-0.317,20, "
" ,PLTG_Sambera_#02,generator,117.292,-0.317,20, "
" ,PLTG_Siantan,generator,109.327,-0.001,34, "
" ,PLTU_Parit_Baru_Site Bengkayang #01,generator,108.874,0.837,55, "
" ,PLTU_Sanggau_#01,generator,110.556,0.03,7, "
" ,PLTU_Sanggau_#02,generator,110.556,0.03,7, "
" ,PLTU_Sintang_#01,generator,111.434,0.074,9, "
" ,PLTU_Sintang_#02,generator,111.434,0.074,9, "
" ,PLTU_Sintang_#03,generator,111.434,0.074,9, "
" ,PLTU_Ketapang_#01,generator,109.942,-1.782,10, "
" ,PLTU_Ketapang_#02,generator,109.942,-1.782,10, "
" ,PLTMG_Kaltimex,generator,117.053,-0.383,9.6, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#01,generator,116.74,-1.291,1, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#02,generator,116.74,-1.291,1, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#03,generator,116.74,-1.291,1, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#04,generator,116.74,-1.291,1, "
" ,PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),generator,115.57,-2.063,15, "
" ,PLTU_Dua_Samudera_Perkasa_(DSP),generator,116.029,-3.309,6, "
" ,PLTU_Rimau_Electric,generator,115.127,-2.018,7, "
" ,PLTMG_Belimbing,generator,117.451,0.166,8, "
" ,PLTU_Kariangau_(PT._Kariangau_Power)_#01,generator,116.801,-1.199,15, "
" ,PLTU_Kariangau_(PT._Kariangau_Power)_#02,generator,116.801,-1.199,15, "
" ,PLTU_Senoni_#01,generator,117.093,-0.543,7.5, "
" ,PLTU_Senoni_#02,generator,117.093,-0.544,7.5, "
" ,PLTU_Rimba_Raya,generator,117.035,-0.547,7.5, "
" ,PLTU_MT_Kaltim_(Muara_Jawa)_#01,generator,117.189,-0.78,33, "
" ,PLTU_MT_Kaltim_(Muara_Jawa)_#02,generator,117.189,-0.78,33, "
" ,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,generator,115.442,-2.162,115, "
" ,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,generator,115.443,-2.162,115, "
" ,PLTG_Senipah_#01,generator,117.135,-0.988,46, "
" ,PLTG_Senipah_#02,generator,117.136,-0.987,46, "
" ,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,generator,117.062,-0.373,25, "
" ,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,generator,117.062,-0.373,25, "
" ,PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),generator,117.063,-0.373,50, "
" ,PLTMG_MPP_PLN_Batam_(MPP_Pontianak),generator,109.204,0.059,100, "
" ,PLTD_Kuala_Kurun_#01_(MWM),generator,113.873,-1.117,0.22, "
" ,PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),generator,113.873,-1.117,0.528, "
" ,PLTD_Kuala_Kurun_#03_MITSUBISHI),generator,113.872,-1.117,1.33, "
" ,PLTD_Kuala_Kurun_#04_MITSUBISHI),generator,113.872,-1.117,1.33, "
" ,PLTD_Kuala_Kurun_#05_MITSUBISHI),generator,113.872,-1.117,1.33, "
" ,PLTD_Kuala_Pembuang_#01_(MWM),generator,112.545,-3.39,0.22, "
" ,PLTD_Kuala_Pembuang_#05_(MITSUBISHI),generator,112.545,-3.39,1.33, "
" ,PLTD_Kuala_Pembuang_#06_(MITSUBISIH),generator,112.545,-3.39,1.33, "
" ,PLTD_Kuala_Pembuang_#07_(MITSUBISHI),generator,112.545,-3.39,1.33, "
" ,PLTD_Kuala_Pembuang_#08_(MITSUBISHI),generator,112.545,-3.39,1.33, "
" ,PLTD_Sukamara_#03_(MWM),generator,111.164,-2.717,0.22, "
" ,PLTD_Sukamara_#04_(DEUTZ),generator,111.164,-2.717,0.24, "
" ,PLTD_Sukamara_#05_(DEUTZ_AG),generator,111.164,-2.717,0.7, "
" ,PLTD_Sukamara_#06_(MTU),generator,111.164,-2.717,0.528, "
" ,PLTD_Sukamara_#07_(MITSUBITSI),generator,111.164,-2.717,1.33, "
